City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Turgutlu,TR,38.4953,27.6997,52.07,91,100,3.62,overcast clouds
79,Buala,SB,-8.145,159.5921,84.4,74,92,2.75,light rain
80,Atuona,PF,-9.8,-139.0333,78.44,73,7,17.16,clear sky
81,Manoharpur,IN,27.3,75.95,58.15,67,0,1.79,clear sky
82,Vila Velha,BR,-20.3297,-40.2925,76.95,79,75,6.91,broken clouds
83,Baykit,RU,61.67,96.37,-10.48,96,85,2.98,overcast clouds
84,Aljezur,PT,37.3191,-8.8033,53.53,87,58,10.4,broken clouds
85,Quelimane,MZ,-17.8786,36.8883,80.55,83,0,12.66,clear sky
86,Avarua,CK,-21.2078,-159.775,80.65,83,75,6.91,broken clouds
87,Isangel,VU,-19.55,169.2667,84.31,79,75,5.75,broken clouds
88,Pevek,RU,69.7008,170.3133,-26.48,99,84,4.25,broken clouds
89,Severo-Kurilsk,RU,50.6789,156.125,32.02,64,72,21.85,broken clouds
90,Mount Isa,AU,-20.7333,139.5,94.77,24,44,8.05,scattered clouds
91,Crotone,IT,39.0851,17.1178,50.09,69,0,4.29,clear sky
92,Wanning,CN,18.8003,110.3967,69.31,70,89,14.27,overcast clouds
93,Portland,US,45.5234,-122.6762,52.09,93,90,5.01,mist
94,Brae,GB,60.3964,-1.353,37.31,90,91,26.15,overcast clouds
95,Fortuna,US,40.5982,-124.1573,52.14,95,90,0.0,overcast clouds
96,Chumikan,RU,54.7183,135.315,7.05,74,94,29.3,overcast clouds
97,Leningradskiy,RU,69.3833,178.4167,-19.53,93,82,5.14,broken clouds
98,Khatanga,RU,71.9667,102.5,-21.98,97,100,10.76,overcast clouds
99,Egvekinot,RU,66.3167,-179.1667,-16.11,82,62,8.03,broken clouds
100,Port Pirie,AU,-33.1833,138.0167,64.49,35,100,3.24,overcast clouds
101,Cape Town,ZA,-33.9258,18.4232,63.01,87,75,3.0,moderate rain
102,Padang,ID,-0.9492,100.3543,75.25,88,100,3.24,overcast clouds
103,Ilulissat,GL,69.2167,-51.1,35.62,55,100,39.12,overcast clouds
104,Kisoro,UG,-1.2854,29.685,56.08,93,100,3.67,overcast clouds
105,Khani,GE,41.9563,42.9566,44.17,46,72,8.66,broken clouds
106,Villazon,BO,-22.0866,-65.5942,53.71,68,66,10.8,broken clouds
107,Vaini,TO,-21.2,-175.2,84.36,74,75,14.97,light rain
108,Lompoc,US,34.6391,-120.4579,63.41,72,1,12.66,clear sky
109,Mangrol,IN,21.1167,70.1167,74.01,66,6,7.74,clear sky
110,Vallentuna,SE,59.5344,18.0776,27.18,89,60,1.99,broken clouds
111,Platanos,GR,37.6667,21.6167,52.09,85,4,4.27,clear sky
112,Hermanus,ZA,-34.4187,19.2345,61.81,94,100,15.7,heavy intensity rain
113,Port Hardy,CA,50.6996,-127.4199,39.76,87,90,17.27,light intensity shower rain
114,Kirakira,SB,-10.4544,161.9205,85.87,69,53,1.77,broken clouds
115,Butaritari,KI,3.0707,172.7902,83.3,78,40,19.69,scattered clouds
116,Port Alfred,ZA,-33.5906,26.891,67.91,95,100,24.4,light rain
117,Victoria,HK,22.2855,114.1577,64.38,67,86,1.01,overcast clouds
118,Mitu,CO,1.1983,-70.1733,71.42,99,100,0.31,overcast clouds
119,Roma,US,43.2128,-75.4557,39.94,81,90,1.01,overcast clouds
120,Mehamn,NO,71.0357,27.8492,17.94,84,13,21.88,few clouds
121,Nome,US,64.5011,-165.4064,8.67,92,90,5.75,mist
122,Waipawa,NZ,-41.4122,175.5153,68.63,54,84,13.15,broken clouds
123,Ucluelet,CA,48.9329,-125.5528,43.11,83,75,9.93,broken clouds
124,Port Augusta,AU,-32.5,137.7667,73.71,34,100,5.82,light rain
125,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,4.61,scattered clouds
126,Grand-Santi,GF,4.25,-54.3833,73.2,99,91,2.59,overcast clouds
127,Rabo De Peixe,PT,37.8,-25.5833,62.28,97,75,2.3,broken clouds
128,Berlevag,NO,70.8578,29.0864,17.69,86,33,25.57,scattered clouds
129,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,16.05,72,86,15.1,overcast clouds
130,Marrakesh,MA,31.6315,-8.0083,50.07,71,0,4.61,clear sky
131,Sabancuy,MX,18.9667,-91.1833,78.06,76,47,12.08,scattered clouds
132,Chaparral,CO,3.7232,-75.4832,69.33,93,94,4.54,overcast clouds
133,Panzhihua,CN,26.5851,101.7128,50.88,91,94,1.25,overcast clouds
134,Verkhoyansk,RU,67.5447,133.385,-24.83,97,100,1.81,overcast clouds
135,Vao,NC,-22.6667,167.4833,76.53,84,85,17.45,overcast clouds
136,Bairiki,KI,1.3292,172.9752,86.0,70,40,16.11,light rain
137,Chuy,UY,-33.6971,-53.4616,63.34,93,92,8.7,overcast clouds
138,Souillac,MU,-20.5167,57.5167,77.38,78,40,4.61,scattered clouds
139,Sorong,ID,-0.8833,131.25,81.03,81,76,3.56,broken clouds
140,Norman Wells,CA,65.282,-126.8329,-38.16,67,20,2.3,few clouds
141,Nanortalik,GL,60.1432,-45.2371,34.92,98,99,22.17,moderate rain
142,Faanui,PF,-16.4833,-151.75,81.23,69,58,13.29,broken clouds
