City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Busselton,AU,2021-11-28 00-52-17,-33.65,115.3333,79.86,43,25,4.76
68,Mataura,NZ,2021-11-28 00-49-21,-46.1927,168.8643,68.74,29,0,2.21
69,Abha,SA,2021-11-28 00-59-29,18.2164,42.5053,55.22,47,0,0.0
70,Mahebourg,MU,2021-11-28 00-53-36,-20.4081,57.7,71.89,88,20,4.61
71,Tabalosos,PE,2021-11-28 00-59-30,-6.35,-76.6833,77.2,92,96,3.89
72,Batagay-Alyta,RU,2021-11-28 00-55-13,67.8006,130.4114,-3.1,96,100,3.51
73,Presidencia Roque Saenz Pena,AR,2021-11-28 00-56-24,-26.7852,-60.4388,76.93,43,100,8.23
74,Mbuji-Mayi,CD,2021-11-28 00-57-02,-6.15,23.6,68.67,96,100,1.68
75,Puerto Ayora,EC,2021-11-28 00-55-14,-0.7393,-90.3518,68.85,80,98,8.7
76,Mao,ES,2021-11-28 00-59-31,39.8885,4.2658,45.16,93,75,6.91
77,Richards Bay,ZA,2021-11-28 00-59-31,-28.783,32.0377,65.7,78,16,17.6
78,Mahibadhoo,MV,2021-11-28 00-59-32,3.7833,72.9667,81.63,73,100,16.89
79,Cayenne,GF,2021-11-28 00-59-32,4.9333,-52.3333,80.64,83,20,3.44
80,Longyearbyen,SJ,2021-11-28 00-56-21,78.2186,15.6401,12.04,67,40,23.02
81,Nikolskoye,RU,2021-11-28 00-52-00,59.7035,30.7861,28.29,89,100,11.86
82,Georgetown,MY,2021-11-28 00-58-58,5.4112,100.3354,80.53,89,20,0.0
83,Chowchilla,US,2021-11-28 00-59-33,37.123,-120.2602,59.11,38,0,3.87
84,Bluff,NZ,2021-11-28 00-59-33,-46.6,168.3333,54.39,55,1,5.68
85,Severo-Yeniseyskiy,RU,2021-11-28 00-59-34,60.3725,93.0408,9.57,95,100,4.18
86,Tak Bai,TH,2021-11-28 00-59-34,6.2595,102.0546,77.04,87,100,5.12
87,Alice Springs,AU,2021-11-28 00-58-39,-23.7,133.8833,74.75,29,1,12.66
88,Lima,PE,2021-11-28 00-55-40,-12.0432,-77.0282,64.65,77,40,14.97
89,Saint George,US,2021-11-28 00-57-07,37.1041,-113.5841,59.47,24,0,2.71
90,Biak,ID,2021-11-28 00-59-35,-0.9131,122.8766,81.41,75,88,3.06
91,Pangkalanbuun,ID,2021-11-28 01-00-36,-2.6833,111.6167,76.06,95,100,4.25
92,Leningradskiy,RU,2021-11-28 00-55-03,69.3833,178.4167,-19.93,90,8,9.51
93,Sitka,US,2021-11-28 00-55-03,57.0531,-135.33,35.49,87,90,5.75
94,Tiksi,RU,2021-11-28 00-53-35,71.6872,128.8694,-7.64,96,100,6.82
95,Biu,NG,2021-11-28 01-00-36,10.6129,12.1946,70.05,20,9,7.02
96,Ucluelet,CA,2021-11-28 00-57-50,48.9329,-125.5528,50.31,93,100,13.2
97,Gat,IL,2021-11-28 01-00-37,31.61,34.7642,56.08,40,35,3.65
98,San-Pedro,CI,2021-11-28 00-57-56,4.7485,-6.6363,78.46,86,8,5.79
99,Solnechnyy,RU,2021-11-28 01-00-38,50.7214,136.6319,17.24,82,63,5.35
100,Atasu,KZ,2021-11-28 01-00-38,48.6814,71.6433,7.3,86,13,5.3
101,Aklavik,CA,2021-11-28 01-00-39,68.2191,-135.0107,-11.2,83,100,17.43
102,North Bend,US,2021-11-28 01-00-39,43.4065,-124.2243,58.24,95,100,8.97
103,Beziers,FR,2021-11-28 01-00-40,43.3476,3.219,40.48,75,75,12.66
104,Kapaa,US,2021-11-28 01-00-40,22.0752,-159.319,76.15,70,1,10.6
105,Kazerun,IR,2021-11-28 00-54-59,29.6195,51.6541,58.08,52,0,1.39
106,Olafsvik,IS,2021-11-28 01-00-41,64.8945,-23.7142,38.66,91,100,7.02
107,Hualmay,PE,2021-11-28 01-00-42,-11.0964,-77.6139,66.47,84,100,9.33
108,Dasoguz,TM,2021-11-28 01-00-42,41.8363,59.9666,23.11,39,67,6.96
109,Punta Arenas,CL,2021-11-28 00-52-22,-53.15,-70.9167,53.71,54,75,6.91
110,Guerrero Negro,MX,2021-11-28 01-00-43,27.9769,-114.0611,67.66,63,0,11.9
111,Hobart,AU,2021-11-28 00-57-26,-42.8794,147.3294,66.06,45,20,9.22
112,Emet,TR,2021-11-28 01-00-44,39.343,29.2585,51.84,80,100,10.78
113,Ingham,US,2021-11-28 00-56-18,42.6,-84.3833,29.97,93,90,0.0
114,Pangnirtung,CA,2021-11-28 01-00-45,66.1451,-65.7125,16.48,77,100,7.27
115,Taoudenni,ML,2021-11-28 00-56-21,22.6783,-3.9836,68.63,31,2,14.45
116,Imbituba,BR,2021-11-28 01-00-45,-28.24,-48.6703,69.55,92,69,9.08
117,Chokurdakh,RU,2021-11-28 00-55-10,70.6333,147.9167,-31.68,99,100,0.58
118,Sorland,NO,2021-11-28 01-00-46,67.667,12.6934,35.58,70,100,25.66
119,Tamandare,BR,2021-11-28 01-00-47,-8.7597,-35.1047,79.32,75,100,10.25
120,Kankakee,US,2021-11-28 01-00-48,41.15,-87.8667,41.05,100,1,3.44
121,Klaksvik,FO,2021-11-28 01-00-48,62.2266,-6.589,25.72,66,98,9.17
122,Saint-Philippe,RE,2021-11-28 00-56-40,-21.3585,55.7679,76.59,83,80,5.12
123,Hofn,IS,2021-11-28 01-00-48,64.2539,-15.2082,34.03,62,100,21.97
124,Port Elizabeth,ZA,2021-11-28 00-55-06,-33.918,25.5701,62.89,72,0,6.91
125,Clyde River,CA,2021-11-28 00-55-13,70.4692,-68.5914,-8.73,99,97,5.93
126,Chara,RU,2021-11-28 01-00-49,56.9064,118.2631,-11.72,79,3,1.63
127,Porto Novo,BJ,2021-11-28 00-52-17,6.4965,2.6036,82.22,83,100,5.21
128,Ribeira Grande,PT,2021-11-28 01-00-50,38.5167,-28.7,61.83,64,95,8.37
129,Hermanus,ZA,2021-11-28 00-52-09,-34.4187,19.2345,64.56,83,96,16.8
130,Pleasanton,US,2021-11-28 01-00-50,37.6624,-121.8747,66.94,47,16,2.64
131,Insar,RU,2021-11-28 01-00-50,53.8653,44.3738,33.98,97,100,17.13
132,Castro,BR,2021-11-28 00-53-33,-24.7911,-50.0119,63.73,75,1,0.78
133,Jamestown,US,2021-11-28 00-54-57,42.097,-79.2353,28.04,93,90,6.91
134,Novo Horizonte,BR,2021-11-28 01-00-51,-21.4681,-49.2208,73.67,46,0,4.18
135,Roald,NO,2021-11-28 00-53-51,62.5833,6.1333,24.94,80,8,11.5
136,Itarema,BR,2021-11-28 01-00-52,-2.9248,-39.9167,80.24,80,82,13.31
137,Henties Bay,NA,2021-11-28 00-58-53,-22.116,14.2845,57.97,89,0,6.87
138,Cherskiy,RU,2021-11-28 00-57-53,68.75,161.3,-25.04,92,22,3.27
139,Avarua,CK,2021-11-28 00-57-50,-21.2078,-159.775,73.45,100,75,2.3
140,Pisco,PE,2021-11-28 01-01-52,-13.7,-76.2167,66.45,80,100,1.95
141,Peniche,PT,2021-11-28 01-01-53,39.3558,-9.3811,45.88,62,30,24.02
142,Hovd,MN,2021-11-28 01-01-53,48.0056,91.6419,13.78,30,10,2.89
143,Kahului,US,2021-11-28 01-01-53,20.8947,-156.47,75.06,70,43,4.56
144,Egvekinot,RU,2021-11-28 01-01-54,66.3167,-179.1667,-16.08,84,0,4.97
145,Provideniya,RU,2021-11-28 01-00-43,64.3833,-173.3,-4.68,82,11,6.44
146,Yellowknife,CA,2021-11-28 00-50-16,62.456,-114.3525,-10.68,77,20,5.75
147,Orotukan,RU,2021-11-28 01-01-54,62.2667,151.7,-21.37,83,9,2.33
148,Tuktoyaktuk,CA,2021-11-28 01-01-55,69.4541,-133.0374,-6.09,96,100,16.82
149,Eganville,CA,2021-11-28 01-01-55,45.5334,-77.0994,20.28,70,5,5.23
150,Salalah,OM,2021-11-28 01-01-56,17.0151,54.0924,74.86,36,7,4.34
151,Rawson,AR,2021-11-28 01-01-43,-43.3002,-65.1023,57.78,75,0,10.29
152,Huarmey,PE,2021-11-28 01-01-56,-10.0681,-78.1522,67.03,83,100,9.35
153,Pevek,RU,2021-11-28 00-52-26,69.7008,170.3133,-12.59,83,5,4.25
